Time,CURRENT,mA
6240,CURRENT,0,0
6242,CURRENT,41,0
6243,CURRENT,145,0
6245,CURRENT,15,0
6246,CURRENT,7,0
6248,CURRENT,5,0
6251,CURRENT,4,0
6253,CURRENT,5,0
6256,CURRENT,5,0
6258,CURRENT,4,0
6261,CURRENT,4,0
6263,CURRENT,4,0
6266,CURRENT,5,0
6268,CURRENT,4,0
6272,CURRENT,3,0
6274,CURRENT,4,0
6277,CURRENT,5,0
6279,CURRENT,4,0
6282,CURRENT,4,0
6284,CURRENT,4,0
6287,CURRENT,5,0
6289,CURRENT,4,0
6292,CURRENT,4,0
6294,CURRENT,4,0
6297,CURRENT,5,0
6299,CURRENT,5,0
6302,CURRENT,4,0
6304,CURRENT,3,0
6307,CURRENT,4,0
6309,CURRENT,4,0
6312,CURRENT,4,0
6315,CURRENT,3,0
6318,CURRENT,4,0
6320,CURRENT,6,0
6323,CURRENT,5,0
6325,CURRENT,4,0
6328,CURRENT,4,0
6330,CURRENT,5,0
6332,CURRENT,5,0
6335,CURRENT,4,0
6337,CURRENT,5,0
6340,CURRENT,5,0
6342,CURRENT,5,0
6345,CURRENT,4,0
6347,CURRENT,4,0
6350,CURRENT,6,0
6352,CURRENT,5,0
6355,CURRENT,4,0
6358,CURRENT,4,0
6361,CURRENT,5,0
6363,CURRENT,5,0
6366,CURRENT,5,0
6368,CURRENT,4,0
6371,CURRENT,5,0
6373,CURRENT,5,0
6376,CURRENT,9,0
6378,CURRENT,9,0
6381,CURRENT,9,0
6383,CURRENT,10,0
6386,CURRENT,9,0
6388,CURRENT,9,0
6391,CURRENT,9,0
6393,CURRENT,9,0
6396,CURRENT,9,0
6398,CURRENT,9,0
6402,CURRENT,9,0
6404,CURRENT,10,0
6407,CURRENT,10,0
6409,CURRENT,9,0
6412,CURRENT,9,0
6414,CURRENT,9,0
6417,CURRENT,10,0
6419,CURRENT,9,0
6422,CURRENT,9,0
6424,CURRENT,9,0
6427,CURRENT,9,0
6429,CURRENT,9,0
6432,CURRENT,9,0
6434,CURRENT,14,0
6437,CURRENT,788,0
6440,CURRENT,884,0
6443,CURRENT,902,0
6446,CURRENT,865,0
6449,CURRENT,890,0
6451,CURRENT,890,0
6454,CURRENT,545,0
6457,CURRENT,654,0
6459,CURRENT,805,0
6462,CURRENT,811,0
6465,CURRENT,650,0
6467,CURRENT,746,0
6470,CURRENT,729,0
6473,CURRENT,585,0
6475,CURRENT,647,0
6478,CURRENT,578,0
6480,CURRENT,585,0
6483,CURRENT,437,0
6487,CURRENT,647,0
6489,CURRENT,455,0
6492,CURRENT,486,0
6495,CURRENT,457,0
6497,CURRENT,517,0
6500,CURRENT,413,0
6503,CURRENT,546,0
6505,CURRENT,458,0
6508,CURRENT,461,0
6511,CURRENT,408,0
6513,CURRENT,293,0
6516,CURRENT,450,0
6519,CURRENT,356,0
6521,CURRENT,588,0
6524,CURRENT,460,0
6528,CURRENT,377,0
6530,CURRENT,483,0
6533,CURRENT,493,0
6536,CURRENT,442,0
6538,CURRENT,297,0
6541,CURRENT,313,0
6544,CURRENT,625,0
6546,CURRENT,443,0
6549,CURRENT,306,0
6552,CURRENT,433,0
6554,CURRENT,439,0
6557,CURRENT,361,0
6560,CURRENT,322,0
6562,CURRENT,308,0
6565,CURRENT,600,0
6567,CURRENT,272,0
6571,CURRENT,262,0
6574,CURRENT,552,0
6576,CURRENT,519,0
6579,CURRENT,240,0
6582,CURRENT,419,0
6584,CURRENT,334,0
6587,CURRENT,218,0
6590,CURRENT,297,0
6592,CURRENT,518,0
6595,CURRENT,225,0
6598,CURRENT,332,0
6600,CURRENT,423,0
6603,CURRENT,195,0
6606,CURRENT,277,0
6608,CURRENT,559,0
6611,CURRENT,396,0
6615,CURRENT,237,0
6617,CURRENT,253,0
6620,CURRENT,301,0
6623,CURRENT,193,0
6625,CURRENT,164,0
6628,CURRENT,544,0
6631,CURRENT,207,0
6633,CURRENT,212,0
