Time,CURRENT,mA
6647,CURRENT,438,0
6649,CURRENT,241,0
6652,CURRENT,309,0
6656,CURRENT,299,0
6658,CURRENT,576,0
6661,CURRENT,312,0
6664,CURRENT,437,0
6666,CURRENT,553,0
6669,CURRENT,522,0
6672,CURRENT,279,0
6674,CURRENT,320,0
6677,CURRENT,603,0
6680,CURRENT,564,0
6682,CURRENT,315,0
6685,CURRENT,389,0
6688,CURRENT,478,0
6690,CURRENT,566,0
6693,CURRENT,351,0
6696,CURRENT,431,0
6699,CURRENT,344,0
6702,CURRENT,337,0
6705,CURRENT,579,0
6707,CURRENT,612,0
6710,CURRENT,415,0
6713,CURRENT,393,0
6715,CURRENT,517,0
6718,CURRENT,541,0
6720,CURRENT,594,0
6723,CURRENT,448,0
6726,CURRENT,580,0
6728,CURRENT,520,0
6731,CURRENT,561,0
6734,CURRENT,405,0
6736,CURRENT,548,0
6739,CURRENT,621,0
6743,CURRENT,632,0
6745,CURRENT,476,0
6748,CURRENT,499,0
6751,CURRENT,530,0
6753,CURRENT,517,0
6756,CURRENT,597,0
6759,CURRENT,648,0
6761,CURRENT,585,0
6764,CURRENT,517,0
6767,CURRENT,669,0
6769,CURRENT,551,0
6772,CURRENT,525,0
6775,CURRENT,487,0
6777,CURRENT,630,0
6780,CURRENT,710,0
6784,CURRENT,598,0
6786,CURRENT,609,0
6789,CURRENT,516,0
6792,CURRENT,478,0
6794,CURRENT,524,0
6797,CURRENT,705,0
6800,CURRENT,495,0
6802,CURRENT,539,0
6805,CURRENT,563,0
6807,CURRENT,666,0
6810,CURRENT,681,0
6813,CURRENT,527,0
6815,CURRENT,714,0
6818,CURRENT,605,0
6821,CURRENT,570,0
6823,CURRENT,678,0
6827,CURRENT,604,0
6830,CURRENT,659,0
6832,CURRENT,593,0
6835,CURRENT,528,0
6838,CURRENT,580,0
6840,CURRENT,726,0
6843,CURRENT,664,0
6846,CURRENT,621,0
6848,CURRENT,635,0
6851,CURRENT,740,0
6854,CURRENT,575,0
6856,CURRENT,747,0
6859,CURRENT,534,0
6862,CURRENT,590,0
6864,CURRENT,596,0
6867,CURRENT,622,0
6871,CURRENT,735,0
6873,CURRENT,604,0
6876,CURRENT,601,0
6879,CURRENT,629,0
6881,CURRENT,655,0
6884,CURRENT,683,0
6887,CURRENT,631,0
6889,CURRENT,617,0
6892,CURRENT,764,0
6894,CURRENT,539,0
6897,CURRENT,569,0
6900,CURRENT,633,0
6902,CURRENT,679,0
