Time,CURRENT,mA
23831,CURRENT,323,0
23834,CURRENT,50,0
23835,CURRENT,143,0
23837,CURRENT,15,0
23838,CURRENT,7,0
23840,CURRENT,5,0
23843,CURRENT,5,0
23845,CURRENT,5,0
23848,CURRENT,4,0
23851,CURRENT,4,0
23854,CURRENT,4,0
23856,CURRENT,5,0
23859,CURRENT,4,0
23861,CURRENT,4,0
23864,CURRENT,4,0
23866,CURRENT,5,0
23869,CURRENT,4,0
23871,CURRENT,4,0
23874,CURRENT,4,0
23876,CURRENT,5,0
23879,CURRENT,4,0
23881,CURRENT,4,0
23884,CURRENT,4,0
23886,CURRENT,5,0
23889,CURRENT,4,0
23891,CURRENT,3,0
23895,CURRENT,4,0
23897,CURRENT,4,0
23900,CURRENT,4,0
23902,CURRENT,3,0
23905,CURRENT,4,0
23907,CURRENT,5,0
23910,CURRENT,4,0
23912,CURRENT,4,0
23915,CURRENT,5,0
23917,CURRENT,5,0
23920,CURRENT,5,0
23922,CURRENT,4,0
23925,CURRENT,5,0
23927,CURRENT,6,0
23930,CURRENT,4,0
23932,CURRENT,4,0
23934,CURRENT,5,0
23938,CURRENT,5,0
23940,CURRENT,4,0
23943,CURRENT,4,0
23945,CURRENT,5,0
23948,CURRENT,5,0
23950,CURRENT,4,0
23953,CURRENT,4,0
23955,CURRENT,5,0
23958,CURRENT,5,0
23960,CURRENT,4,0
23963,CURRENT,5,0
23965,CURRENT,5,0
23968,CURRENT,9,0
23970,CURRENT,9,0
23973,CURRENT,9,0
23975,CURRENT,9,0
23979,CURRENT,9,0
23981,CURRENT,9,0
23984,CURRENT,9,0
23986,CURRENT,9,0
23989,CURRENT,10,0
23991,CURRENT,9,0
23994,CURRENT,9,0
23996,CURRENT,9,0
23999,CURRENT,9,0
24001,CURRENT,9,0
24004,CURRENT,9,0
24006,CURRENT,9,0
24009,CURRENT,9,0
24011,CURRENT,9,0
24014,CURRENT,9,0
24016,CURRENT,9,0
24019,CURRENT,9,0
24022,CURRENT,9,0
24025,CURRENT,9,0
24027,CURRENT,1036,0
24030,CURRENT,618,0
24033,CURRENT,917,0
24035,CURRENT,839,0
24038,CURRENT,775,0
24041,CURRENT,790,0
24043,CURRENT,909,0
24046,CURRENT,697,0
24049,CURRENT,653,0
24051,CURRENT,691,0
24054,CURRENT,840,0
24057,CURRENT,723,0
24059,CURRENT,586,0
24062,CURRENT,759,0
24065,CURRENT,657,0
24068,CURRENT,478,0
24071,CURRENT,618,0
24073,CURRENT,484,0
24076,CURRENT,653,0
24079,CURRENT,379,0
24081,CURRENT,461,0
24084,CURRENT,405,0
24087,CURRENT,565,0
24089,CURRENT,373,0
24092,CURRENT,512,0
24095,CURRENT,397,0
24097,CURRENT,481,0
24100,CURRENT,559,0
