Time,CURRENT,mA
14684,CURRENT,202,0
14686,CURRENT,20,0
14687,CURRENT,147,0
14689,CURRENT,16,0
14691,CURRENT,7,0
14693,CURRENT,5,0
14695,CURRENT,4,0
14697,CURRENT,4,0
14700,CURRENT,5,0
14702,CURRENT,5,0
14705,CURRENT,4,0
14707,CURRENT,4,0
14710,CURRENT,5,0
14712,CURRENT,4,0
14715,CURRENT,4,0
14717,CURRENT,3,0
14721,CURRENT,5,0
14723,CURRENT,5,0
14726,CURRENT,4,0
14728,CURRENT,3,0
14731,CURRENT,4,0
14733,CURRENT,5,0
14736,CURRENT,4,0
14738,CURRENT,3,0
14741,CURRENT,4,0
14743,CURRENT,5,0
14746,CURRENT,5,0
14748,CURRENT,3,0
14751,CURRENT,4,0
14753,CURRENT,5,0
14756,CURRENT,4,0
14758,CURRENT,4,0
14761,CURRENT,4,0
14764,CURRENT,5,0
14767,CURRENT,5,0
14769,CURRENT,4,0
14772,CURRENT,4,0
14774,CURRENT,5,0
14777,CURRENT,6,0
14779,CURRENT,5,0
14782,CURRENT,4,0
14784,CURRENT,5,0
14787,CURRENT,5,0
14789,CURRENT,5,0
14792,CURRENT,4,0
14794,CURRENT,5,0
14797,CURRENT,5,0
14799,CURRENT,5,0
14802,CURRENT,4,0
14804,CURRENT,5,0
14808,CURRENT,6,0
14810,CURRENT,5,0
14813,CURRENT,4,0
14815,CURRENT,5,0
14818,CURRENT,5,0
14820,CURRENT,5,0
14822,CURRENT,9,0
14825,CURRENT,9,0
14827,CURRENT,9,0
14830,CURRENT,9,0
14832,CURRENT,9,0
14835,CURRENT,9,0
14837,CURRENT,9,0
14840,CURRENT,9,0
14842,CURRENT,9,0
14845,CURRENT,9,0
14848,CURRENT,9,0
14851,CURRENT,9,0
14853,CURRENT,9,0
14856,CURRENT,9,0
14858,CURRENT,9,0
14861,CURRENT,9,0
14863,CURRENT,9,0
14866,CURRENT,9,0
14868,CURRENT,9,0
14871,CURRENT,9,0
14873,CURRENT,9,0
14876,CURRENT,9,0
14878,CURRENT,9,0
14881,CURRENT,1053,0
14884,CURRENT,863,0
14886,CURRENT,829,0
14889,CURRENT,862,0
14892,CURRENT,854,0
14895,CURRENT,803,0
14898,CURRENT,791,0
14900,CURRENT,802,0
14903,CURRENT,848,0
14906,CURRENT,718,0
14908,CURRENT,776,0
14911,CURRENT,613,0
14914,CURRENT,790,0
14916,CURRENT,725,0
14919,CURRENT,578,0
14922,CURRENT,530,0
14924,CURRENT,578,0
14927,CURRENT,567,0
14930,CURRENT,521,0
14932,CURRENT,616,0
14936,CURRENT,568,0
14939,CURRENT,624,0
14941,CURRENT,552,0
14944,CURRENT,449,0
14947,CURRENT,412,0
14949,CURRENT,499,0
14952,CURRENT,605,0
14955,CURRENT,440,0
14957,CURRENT,402,0
14960,CURRENT,316,0
14963,CURRENT,332,0
14965,CURRENT,390,0
14968,CURRENT,302,0
14971,CURRENT,320,0
14973,CURRENT,418,0
14977,CURRENT,231,0
14979,CURRENT,326,0
14982,CURRENT,299,0
14985,CURRENT,340,0
14987,CURRENT,281,0
14990,CURRENT,244,0
14993,CURRENT,296,0
14995,CURRENT,194,0
14998,CURRENT,514,0
15001,CURRENT,268,0
15003,CURRENT,293,0
15006,CURRENT,514,0
15009,CURRENT,480,0
15011,CURRENT,246,0
15014,CURRENT,281,0
15017,CURRENT,500,0
15020,CURRENT,322,0
15023,CURRENT,220,0
15026,CURRENT,230,0
15028,CURRENT,544,0
15031,CURRENT,246,0
15034,CURRENT,271,0
15036,CURRENT,468,0
15039,CURRENT,221,0
15042,CURRENT,327,0
15044,CURRENT,332,0
15047,CURRENT,190,0
15050,CURRENT,223,0
15052,CURRENT,503,0
15055,CURRENT,392,0
15058,CURRENT,221,0
15060,CURRENT,279,0
15064,CURRENT,334,0
15066,CURRENT,204,0
15069,CURRENT,250,0
15072,CURRENT,318,0
15074,CURRENT,485,0
15077,CURRENT,243,0
15080,CURRENT,200,0
15082,CURRENT,255,0
15085,CURRENT,185,0
