Time,CURRENT,mA
6870,CURRENT,9,0
6873,CURRENT,9,0
6875,CURRENT,9,0
6877,CURRENT,9,0
6880,CURRENT,9,0
6882,CURRENT,9,0
6885,CURRENT,9,0
6887,CURRENT,9,0
6890,CURRENT,9,0
6892,CURRENT,9,0
6895,CURRENT,9,0
6897,CURRENT,9,0
6900,CURRENT,9,0
6902,CURRENT,9,0
6905,CURRENT,9,0
6907,CURRENT,9,0
6910,CURRENT,9,0
6913,CURRENT,9,0
6916,CURRENT,9,0
6918,CURRENT,9,0
6921,CURRENT,9,0
6923,CURRENT,9,0
6926,CURRENT,9,0
6928,CURRENT,9,0
6931,CURRENT,9,0
6933,CURRENT,9,0
6936,CURRENT,9,0
6938,CURRENT,9,0
6941,CURRENT,9,0
6943,CURRENT,9,0
6946,CURRENT,9,0
6948,CURRENT,9,0
6951,CURRENT,9,0
6953,CURRENT,9,0
6957,CURRENT,9,0
6959,CURRENT,8,0
6962,CURRENT,9,0
6964,CURRENT,9,0
6967,CURRENT,9,0
6969,CURRENT,9,0
6972,CURRENT,9,0
6974,CURRENT,9,0
6977,CURRENT,9,0
6979,CURRENT,9,0
6982,CURRENT,9,0
6984,CURRENT,9,0
6987,CURRENT,9,0
6989,CURRENT,9,0
6992,CURRENT,9,0
6994,CURRENT,9,0
6998,CURRENT,9,0
7000,CURRENT,9,0
7003,CURRENT,9,0
7005,CURRENT,9,0
7007,CURRENT,9,0
7010,CURRENT,9,0
7012,CURRENT,9,0
7015,CURRENT,9,0
7017,CURRENT,9,0
7020,CURRENT,9,0
7022,CURRENT,9,0
7025,CURRENT,9,0
7027,CURRENT,8,0
7030,CURRENT,9,0
7032,CURRENT,9,0
7035,CURRENT,9,0
7037,CURRENT,9,0
7041,CURRENT,9,0
7043,CURRENT,9,0
7046,CURRENT,9,0
7048,CURRENT,9,0
7051,CURRENT,9,0
7053,CURRENT,9,0
7056,CURRENT,9,0
7058,CURRENT,9,0
7061,CURRENT,9,0
7063,CURRENT,9,0
7066,CURRENT,9,0
7068,CURRENT,9,0
7071,CURRENT,9,0
7073,CURRENT,9,0
7076,CURRENT,9,0
7078,CURRENT,9,0
7081,CURRENT,9,0
7084,CURRENT,9,0
7087,CURRENT,9,0
7089,CURRENT,9,0
7092,CURRENT,9,0
7094,CURRENT,9,0
7097,CURRENT,9,0
7099,CURRENT,9,0
7102,CURRENT,9,0
7104,CURRENT,9,0
7107,CURRENT,9,0
7109,CURRENT,9,0
7112,CURRENT,9,0
7114,CURRENT,9,0
7117,CURRENT,9,0
7119,CURRENT,9,0
7122,CURRENT,9,0
7124,CURRENT,9,0
7128,CURRENT,9,0
7130,CURRENT,9,0
7133,CURRENT,9,0
7135,CURRENT,9,0
7137,CURRENT,9,0
7140,CURRENT,10,0
7143,CURRENT,9,0
7145,CURRENT,9,0
7148,CURRENT,9,0
7150,CURRENT,9,0
7153,CURRENT,9,0
7155,CURRENT,9,0
7157,CURRENT,9,0
7160,CURRENT,9,0
7162,CURRENT,9,0
7165,CURRENT,9,0
7168,CURRENT,9,0
7171,CURRENT,9,0
7173,CURRENT,9,0
7176,CURRENT,9,0
7178,CURRENT,9,0
7181,CURRENT,9,0
7183,CURRENT,9,0
7186,CURRENT,9,0
7188,CURRENT,9,0
7191,CURRENT,9,0
7193,CURRENT,9,0
7196,CURRENT,8,0
7198,CURRENT,9,0
7201,CURRENT,9,0
7203,CURRENT,9,0
