Time,CURRENT,mA
38289,CURRENT,5,0
38292,CURRENT,28,0
38294,CURRENT,62,0
38297,CURRENT,6,0
38299,CURRENT,6,0
38302,CURRENT,6,0
38304,CURRENT,4,0
38307,CURRENT,4,0
38309,CURRENT,4,0
38312,CURRENT,5,0
38315,CURRENT,4,0
38318,CURRENT,4,0
38320,CURRENT,3,0
38323,CURRENT,4,0
38325,CURRENT,5,0
38328,CURRENT,4,0
38330,CURRENT,4,0
38333,CURRENT,4,0
38335,CURRENT,5,0
38338,CURRENT,4,0
38340,CURRENT,4,0
38343,CURRENT,3,0
38345,CURRENT,5,0
38348,CURRENT,5,0
38350,CURRENT,4,0
38353,CURRENT,3,0
38355,CURRENT,4,0
38359,CURRENT,5,0
38361,CURRENT,4,0
38364,CURRENT,3,0
38366,CURRENT,4,0
38369,CURRENT,5,0
38371,CURRENT,5,0
38374,CURRENT,5,0
38376,CURRENT,4,0
38379,CURRENT,5,0
38381,CURRENT,5,0
38384,CURRENT,5,0
38386,CURRENT,4,0
38389,CURRENT,4,0
38391,CURRENT,5,0
38393,CURRENT,6,0
38396,CURRENT,5,0
38398,CURRENT,4,0
38402,CURRENT,5,0
38404,CURRENT,5,0
38407,CURRENT,5,0
38409,CURRENT,5,0
38412,CURRENT,4,0
38414,CURRENT,5,0
38417,CURRENT,5,0
38419,CURRENT,5,0
38422,CURRENT,4,0
38424,CURRENT,5,0
38427,CURRENT,8,0
38429,CURRENT,9,0
38432,CURRENT,9,0
38434,CURRENT,9,0
38437,CURRENT,9,0
38439,CURRENT,9,0
38443,CURRENT,9,0
38445,CURRENT,9,0
38448,CURRENT,9,0
38450,CURRENT,9,0
38453,CURRENT,9,0
38455,CURRENT,9,0
38458,CURRENT,9,0
38460,CURRENT,9,0
38463,CURRENT,9,0
38465,CURRENT,9,0
38468,CURRENT,9,0
38470,CURRENT,9,0
38473,CURRENT,9,0
38475,CURRENT,9,0
38478,CURRENT,9,0
38480,CURRENT,9,0
38483,CURRENT,9,0
38486,CURRENT,10,0
38489,CURRENT,9,0
38491,CURRENT,9,0
38494,CURRENT,9,0
38496,CURRENT,9,0
38499,CURRENT,9,0
38501,CURRENT,9,0
38504,CURRENT,9,0
38506,CURRENT,9,0
38509,CURRENT,9,0
38511,CURRENT,9,0
38514,CURRENT,9,0
38516,CURRENT,9,0
38519,CURRENT,9,0
38521,CURRENT,9,0
38524,CURRENT,9,0
38526,CURRENT,9,0
38530,CURRENT,9,0
38532,CURRENT,9,0
38535,CURRENT,9,0
38537,CURRENT,9,0
38540,CURRENT,9,0
38542,CURRENT,9,0
38544,CURRENT,9,0
38547,CURRENT,9,0
38549,CURRENT,9,0
38552,CURRENT,9,0
38554,CURRENT,9,0
38557,CURRENT,9,0
38559,CURRENT,9,0
38562,CURRENT,9,0
38564,CURRENT,10,0
38567,CURRENT,9,0
38569,CURRENT,9,0
38573,CURRENT,9,0
38575,CURRENT,9,0
38578,CURRENT,9,0
38580,CURRENT,9,0
38583,CURRENT,9,0
38585,CURRENT,9,0
38588,CURRENT,9,0
38590,CURRENT,9,0
38593,CURRENT,9,0
