Time,CURRENT,mA
6232,CURRENT,0,0
6234,CURRENT,83,0
6235,CURRENT,149,0
6237,CURRENT,18,0
6239,CURRENT,5,0
6240,CURRENT,5,0
6243,CURRENT,6,0
6245,CURRENT,5,0
6248,CURRENT,4,0
6250,CURRENT,4,0
6253,CURRENT,5,0
6255,CURRENT,5,0
6258,CURRENT,4,0
6260,CURRENT,4,0
6263,CURRENT,4,0
6265,CURRENT,5,0
6268,CURRENT,4,0
6270,CURRENT,4,0
6274,CURRENT,3,0
6276,CURRENT,5,0
6279,CURRENT,5,0
6281,CURRENT,4,0
6284,CURRENT,3,0
6286,CURRENT,4,0
6289,CURRENT,5,0
6291,CURRENT,4,0
6294,CURRENT,4,0
6296,CURRENT,4,0
6299,CURRENT,4,0
6301,CURRENT,4,0
6304,CURRENT,4,0
6306,CURRENT,3,0
6309,CURRENT,4,0
6311,CURRENT,5,0
6315,CURRENT,5,0
6317,CURRENT,4,0
6320,CURRENT,4,0
6322,CURRENT,5,0
6325,CURRENT,6,0
6327,CURRENT,5,0
6329,CURRENT,4,0
6332,CURRENT,4,0
6334,CURRENT,6,0
6337,CURRENT,5,0
6339,CURRENT,4,0
6342,CURRENT,4,0
6344,CURRENT,5,0
6347,CURRENT,5,0
6349,CURRENT,4,0
6352,CURRENT,4,0
6354,CURRENT,5,0
6358,CURRENT,6,0
6360,CURRENT,10,0
6363,CURRENT,9,0
6365,CURRENT,8,0
6368,CURRENT,9,0
6370,CURRENT,10,0
6373,CURRENT,10,0
6376,CURRENT,8,0
6378,CURRENT,9,0
6381,CURRENT,10,0
6383,CURRENT,10,0
6386,CURRENT,9,0
6388,CURRENT,8,0
6391,CURRENT,9,0
6393,CURRENT,10,0
6396,CURRENT,10,0
6398,CURRENT,8,0
6402,CURRENT,8,0
6404,CURRENT,9,0
6407,CURRENT,9,0
6409,CURRENT,9,0
6412,CURRENT,8,0
6414,CURRENT,9,0
6417,CURRENT,10,0
6419,CURRENT,738,0
6422,CURRENT,446,0
6425,CURRENT,935,0
6427,CURRENT,903,0
6430,CURRENT,879,0
6433,CURRENT,906,0
6435,CURRENT,858,0
6438,CURRENT,866,0
6441,CURRENT,862,0
6444,CURRENT,835,0
6447,CURRENT,761,0
6450,CURRENT,321,0
6452,CURRENT,752,0
6455,CURRENT,578,0
6457,CURRENT,444,0
6460,CURRENT,562,0
6463,CURRENT,324,0
6465,CURRENT,651,0
6468,CURRENT,537,0
6471,CURRENT,557,0
6473,CURRENT,523,0
6476,CURRENT,555,0
6479,CURRENT,463,0
6481,CURRENT,404,0
6484,CURRENT,460,0
6488,CURRENT,364,0
6490,CURRENT,487,0
6493,CURRENT,408,0
6496,CURRENT,448,0
6498,CURRENT,514,0
6501,CURRENT,303,0
6504,CURRENT,549,0
6506,CURRENT,298,0
6509,CURRENT,514,0
6512,CURRENT,424,0
6514,CURRENT,544,0
6517,CURRENT,432,0
6520,CURRENT,384,0
6522,CURRENT,525,0
6525,CURRENT,403,0
6529,CURRENT,347,0
6531,CURRENT,344,0
6534,CURRENT,245,0
6537,CURRENT,296,0
6539,CURRENT,257,0
6542,CURRENT,360,0
6544,CURRENT,521,0
6547,CURRENT,463,0
6550,CURRENT,391,0
6552,CURRENT,229,0
6555,CURRENT,330,0
6558,CURRENT,336,0
6560,CURRENT,146,0
6563,CURRENT,533,0
6566,CURRENT,220,0
6568,CURRENT,218,0
6572,CURRENT,394,0
6575,CURRENT,495,0
6577,CURRENT,296,0
6580,CURRENT,383,0
6583,CURRENT,443,0
6585,CURRENT,238,0
6588,CURRENT,259,0
6591,CURRENT,530,0
6593,CURRENT,214,0
6596,CURRENT,424,0
6599,CURRENT,555,0
6601,CURRENT,241,0
6604,CURRENT,296,0
6607,CURRENT,401,0
6609,CURRENT,152,0
6612,CURRENT,371,0
6616,CURRENT,556,0
6618,CURRENT,182,0
6621,CURRENT,271,0
6624,CURRENT,394,0
6626,CURRENT,142,0
6629,CURRENT,269,0
6631,CURRENT,401,0
6634,CURRENT,376,0
6637,CURRENT,263,0
6639,CURRENT,280,0
6642,CURRENT,172,0
6645,CURRENT,185,0
6647,CURRENT,206,0
6650,CURRENT,507,0
6653,CURRENT,206,0
6656,CURRENT,304,0
6659,CURRENT,395,0
6662,CURRENT,180,0
6664,CURRENT,282,0
6667,CURRENT,343,0
6670,CURRENT,192,0
6672,CURRENT,179,0
6675,CURRENT,521,0
6678,CURRENT,386,0
6680,CURRENT,154,0
6683,CURRENT,236,0
6686,CURRENT,407,0
6688,CURRENT,166,0
6691,CURRENT,246,0
6694,CURRENT,569,0
6696,CURRENT,253,0
6700,CURRENT,234,0
6703,CURRENT,282,0
6705,CURRENT,146,0
6708,CURRENT,156,0
6711,CURRENT,284,0
6713,CURRENT,476,0
6716,CURRENT,214,0
6718,CURRENT,294,0
6721,CURRENT,233,0
6724,CURRENT,194,0
6726,CURRENT,232,0
6729,CURRENT,483,0
6732,CURRENT,406,0
6734,CURRENT,268,0
6737,CURRENT,162,0
6740,CURRENT,297,0
6743,CURRENT,113,0
6746,CURRENT,162,0
6749,CURRENT,579,0
6751,CURRENT,161,0
6754,CURRENT,261,0
6757,CURRENT,494,0
6759,CURRENT,148,0
6762,CURRENT,206,0
6765,CURRENT,169,0
6767,CURRENT,568,0
6770,CURRENT,212,0
6773,CURRENT,303,0
6775,CURRENT,353,0
6778,CURRENT,170,0
