Time,CURRENT,mA
38323,CURRENT,536,0
38327,CURRENT,65532,0
38329,CURRENT,18,0
38331,CURRENT,7,0
38334,CURRENT,5,0
38336,CURRENT,5,0
38339,CURRENT,4,0
38341,CURRENT,5,0
38344,CURRENT,5,0
38346,CURRENT,4,0
38349,CURRENT,4,0
38351,CURRENT,4,0
38354,CURRENT,5,0
38356,CURRENT,5,0
38360,CURRENT,3,0
38362,CURRENT,3,0
38365,CURRENT,5,0
38367,CURRENT,4,0
38370,CURRENT,3,0
38372,CURRENT,3,0
38375,CURRENT,5,0
38377,CURRENT,5,0
38380,CURRENT,3,0
38382,CURRENT,4,0
38385,CURRENT,4,0
38387,CURRENT,5,0
38390,CURRENT,4,0
38392,CURRENT,4,0
38395,CURRENT,4,0
38397,CURRENT,4,0
38401,CURRENT,4,0
38403,CURRENT,4,0
38406,CURRENT,4,0
38408,CURRENT,5,0
38411,CURRENT,5,0
38413,CURRENT,4,0
38416,CURRENT,4,0
38418,CURRENT,5,0
38420,CURRENT,6,0
38423,CURRENT,5,0
38425,CURRENT,4,0
38428,CURRENT,5,0
38430,CURRENT,6,0
38433,CURRENT,5,0
38435,CURRENT,4,0
38438,CURRENT,4,0
38440,CURRENT,5,0
38444,CURRENT,5,0
38446,CURRENT,5,0
38449,CURRENT,4,0
38451,CURRENT,5,0
38454,CURRENT,6,0
38456,CURRENT,5,0
38459,CURRENT,4,0
38461,CURRENT,9,0
38464,CURRENT,10,0
38466,CURRENT,9,0
38469,CURRENT,9,0
38471,CURRENT,9,0
38474,CURRENT,9,0
38476,CURRENT,9,0
38479,CURRENT,9,0
38481,CURRENT,9,0
38484,CURRENT,9,0
38487,CURRENT,9,0
38490,CURRENT,9,0
38492,CURRENT,9,0
38495,CURRENT,9,0
38497,CURRENT,9,0
38500,CURRENT,9,0
38502,CURRENT,9,0
38505,CURRENT,9,0
38507,CURRENT,9,0
38510,CURRENT,9,0
38512,CURRENT,9,0
38515,CURRENT,9,0
38517,CURRENT,9,0
38520,CURRENT,65,0
38522,CURRENT,79,0
38525,CURRENT,78,0
38528,CURRENT,77,0
38531,CURRENT,74,0
38534,CURRENT,64,0
38536,CURRENT,58,0
38539,CURRENT,79,0
38541,CURRENT,78,0
38544,CURRENT,76,0
38546,CURRENT,76,0
38549,CURRENT,72,0
38552,CURRENT,62,0
38554,CURRENT,56,0
38557,CURRENT,58,0
38559,CURRENT,60,0
38562,CURRENT,57,0
38564,CURRENT,60,0
38567,CURRENT,43,0
38571,CURRENT,56,0
38573,CURRENT,66,0
38576,CURRENT,65,0
38578,CURRENT,62,0
38581,CURRENT,61,0
38583,CURRENT,42,0
38586,CURRENT,46,0
38589,CURRENT,57,0
38591,CURRENT,45,0
38594,CURRENT,43,0
38596,CURRENT,45,0
38599,CURRENT,37,0
38601,CURRENT,45,0
38604,CURRENT,52,0
38607,CURRENT,49,0
38609,CURRENT,47,0
38612,CURRENT,57,0
38615,CURRENT,58,0
38618,CURRENT,50,0
38620,CURRENT,51,0
38623,CURRENT,51,0
38626,CURRENT,53,0
38628,CURRENT,53,0
38631,CURRENT,51,0
38633,CURRENT,50,0
38636,CURRENT,57,0
38638,CURRENT,58,0
38641,CURRENT,55,0
38644,CURRENT,48,0
38646,CURRENT,43,0
38649,CURRENT,47,0
38651,CURRENT,45,0
38654,CURRENT,42,0
38658,CURRENT,45,0
38660,CURRENT,53,0
38663,CURRENT,55,0
38665,CURRENT,45,0
38668,CURRENT,54,0
38670,CURRENT,54,0
38673,CURRENT,47,0
38676,CURRENT,36,0
38678,CURRENT,40,0
38681,CURRENT,49,0
38683,CURRENT,52,0
38686,CURRENT,41,0
38688,CURRENT,46,0
38691,CURRENT,51,0
38694,CURRENT,51,0
38696,CURRENT,42,0
38700,CURRENT,44,0
38702,CURRENT,59,0
38705,CURRENT,59,0
38707,CURRENT,51,0
38710,CURRENT,41,0
38713,CURRENT,50,0
38715,CURRENT,63,0
38718,CURRENT,55,0
38720,CURRENT,47,0
38723,CURRENT,45,0
38725,CURRENT,50,0
38728,CURRENT,56,0
38731,CURRENT,59,0
38733,CURRENT,38,0
38736,CURRENT,44,0
38738,CURRENT,56,0
38742,CURRENT,64,0
38744,CURRENT,46,0
38747,CURRENT,41,0
38750,CURRENT,53,0
38752,CURRENT,53,0
38755,CURRENT,50,0
38757,CURRENT,56,0
38760,CURRENT,51,0
38762,CURRENT,54,0
38765,CURRENT,57,0
38768,CURRENT,65,0
38770,CURRENT,47,0
38773,CURRENT,52,0
38775,CURRENT,48,0
38778,CURRENT,56,0
38780,CURRENT,65,0
38784,CURRENT,51,0
38787,CURRENT,46,0
38789,CURRENT,56,0
38792,CURRENT,61,0
38794,CURRENT,54,0
38797,CURRENT,47,0
38799,CURRENT,55,0
38802,CURRENT,57,0
38805,CURRENT,55,0
38807,CURRENT,48,0
38810,CURRENT,52,0
38812,CURRENT,58,0
38815,CURRENT,56,0
38817,CURRENT,54,0
38820,CURRENT,50,0
38823,CURRENT,57,0
38825,CURRENT,56,0
38829,CURRENT,55,0
38831,CURRENT,50,0
38834,CURRENT,55,0
38836,CURRENT,57,0
38839,CURRENT,55,0
38842,CURRENT,53,0
38844,CURRENT,53,0
38847,CURRENT,57,0
38849,CURRENT,55,0
38852,CURRENT,55,0
38854,CURRENT,53,0
38857,CURRENT,56,0
38860,CURRENT,55,0
38862,CURRENT,55,0
38865,CURRENT,56,0
38867,CURRENT,54,0
38871,CURRENT,56,0
38874,CURRENT,55,0
38876,CURRENT,56,0
38879,CURRENT,56,0
38881,CURRENT,55,0
38884,CURRENT,55,0
38886,CURRENT,56,0
38889,CURRENT,57,0
38892,CURRENT,56,0
38894,CURRENT,55,0
38897,CURRENT,55,0
38899,CURRENT,57,0
38902,CURRENT,57,0
38904,CURRENT,55,0
38907,CURRENT,55,0
38910,CURRENT,57,0
38913,CURRENT,57,0
38916,CURRENT,56,0
38918,CURRENT,55,0
38921,CURRENT,57,0
38923,CURRENT,57,0
38926,CURRENT,56,0
38929,CURRENT,55,0
38931,CURRENT,57,0
38934,CURRENT,57,0
38936,CURRENT,56,0
38939,CURRENT,55,0
38941,CURRENT,57,0
38944,CURRENT,57,0
38947,CURRENT,56,0
38949,CURRENT,55,0
38952,CURRENT,57,0
38955,CURRENT,61,0
38958,CURRENT,54,0
38960,CURRENT,53,0
38963,CURRENT,56,0
38966,CURRENT,57,0
38968,CURRENT,56,0
38971,CURRENT,54,0
38973,CURRENT,55,0
38976,CURRENT,57,0
38978,CURRENT,57,0
38981,CURRENT,55,0
38984,CURRENT,55,0
38986,CURRENT,58,0
38989,CURRENT,57,0
38991,CURRENT,54,0
38994,CURRENT,55,0
38996,CURRENT,57,0
39000,CURRENT,57,0
39003,CURRENT,56,0
39005,CURRENT,56,0
39008,CURRENT,56,0
39010,CURRENT,58,0
39013,CURRENT,56,0
39015,CURRENT,55,0
39018,CURRENT,56,0
39021,CURRENT,57,0
39023,CURRENT,56,0
39026,CURRENT,55,0
39028,CURRENT,56,0
39031,CURRENT,57,0
40823,CURRENT,5,0
40826,CURRENT,4,0
40828,CURRENT,3,0
40832,CURRENT,4,0
40834,CURRENT,4,0
40837,CURRENT,4,0
40839,CURRENT,4,0
40842,CURRENT,3,0
40844,CURRENT,4,0
40847,CURRENT,5,0
40849,CURRENT,4,0
40852,CURRENT,3,0
40854,CURRENT,4,0
40857,CURRENT,5,0
40859,CURRENT,4,0
40862,CURRENT,3,0
40864,CURRENT,5,0
40867,CURRENT,5,0
40869,CURRENT,5,0
40872,CURRENT,4,0
40875,CURRENT,4,0
40878,CURRENT,5,0
40880,CURRENT,5,0
40883,CURRENT,5,0
40885,CURRENT,4,0
40888,CURRENT,5,0
40890,CURRENT,5,0
40893,CURRENT,5,0
40895,CURRENT,4,0
40898,CURRENT,5,0
40900,CURRENT,6,0
40903,CURRENT,5,0
40905,CURRENT,4,0
40908,CURRENT,4,0
40910,CURRENT,5,0
40913,CURRENT,5,0
40915,CURRENT,4,0
40919,CURRENT,8,0
40921,CURRENT,9,0
40924,CURRENT,9,0
40926,CURRENT,9,0
40929,CURRENT,9,0
40931,CURRENT,9,0
40934,CURRENT,10,0
40936,CURRENT,9,0
40939,CURRENT,9,0
40941,CURRENT,9,0
40944,CURRENT,9,0
40946,CURRENT,9,0
40949,CURRENT,9,0
40951,CURRENT,9,0
40954,CURRENT,9,0
40956,CURRENT,9,0
40960,CURRENT,9,0
40962,CURRENT,8,0
40965,CURRENT,9,0
40967,CURRENT,9,0
40970,CURRENT,9,0
40972,CURRENT,9,0
40974,CURRENT,9,0
40977,CURRENT,44,0
40980,CURRENT,47,0
40982,CURRENT,52,0
40985,CURRENT,55,0
40987,CURRENT,51,0
40990,CURRENT,53,0
